zip3,primary_state,primary_city,centroid_lat,centroid_lng,zip5_count,population,households,median_hh_income,demand_index
816,CO,Glenwood Springs,39.70162,-107.38359,38,160819,60784,88757,13.5
820,WY,Cheyenne,41.36226,-105.03694,28,137804,57676,72197,10.6
821,WY,Yellowstone National Park,44.79573,-110.61373,1,906,192,60455,5.8
822,WY,Wheatland,42.35458,-104.56566,20,23763,10031,63547,6.8
823,WY,Rawlins,41.62844,-107.12498,14,14921,5982,67602,7.2
824,WY,Worland,44.39889,-108.38807,23,53683,22743,65716,7.8
825,WY,Riverton,43.16395,-108.86949,10,38206,14112,61080,6.8
826,WY,Casper,42.98186,-106.54881,22,95235,39452,70970,9.5
827,WY,Gillette,44.34381,-104.89314,19,60943,22873,88747,11.3
828,WY,Sheridan,44.70625,-106.81186,14,38885,16626,67317,7.7
829,WY,Rock Springs,41.75696,-109.78005,21,68293,26216,83329,10.7
830,WY,Jackson,43.61947,-110.70192,7,22042,9268,109062,13.5
831,WY,Kemmerer,42.54364,-110.70511,18,22681,8719,81654,9.4
832,ID,Pocatello,42.89852,-112.36161,57,183149,65228,63314,10.2
833,ID,Twin Falls,42.81197,-114.2651,39,207925,74034,64646,11.0
834,ID,Idaho Falls,44.0065,-112.10354,46,242896,76417,69738,12.5
835,ID,Lewiston,46.16204,-116.24336,29,72258,29256,61021,7.5
836,ID,Nampa,43.89428,-116.29729,58,561578,195428,77676,20.6
837,ID,Boise,43.50496,-116.2317,37,291010,119420,79497,15.0
838,ID,Coeur D Alene,47.71102,-116.52885,66,295678,115633,67329,13.3
840,UT,Sandy,40.63375,-111.37888,89,1561326,478693,103316,46.3
841,UT,Salt Lake City,40.7029,-111.88822,62,635649,233259,82240,22.9
842,UT,Ogden,41.24977,-111.98232,2,,,,
843,UT,Logan,41.70045,-112.07732,40,209268,65681,76859,12.8
844,UT,Ogden,41.23772,-111.96467,11,215583,74166,82201,13.7
845,UT,Price,38.76106,-110.32951,28,53404,19898,58048,6.6
846,UT,Provo,39.54631,-111.89974,48,324927,93326,77865,15.5
847,UT,Saint George,37.81264,-112.6227,72,282046,97361,72820,13.8
850,AZ,Phoenix,33.30164,-112.15263,79,1456801,540738,71989,39.4
852,AZ,Mesa,33.27276,-111.80085,85,1632761,650984,94626,46.5
853,AZ,Glendale,33.28452,-112.76314,78,1508518,542027,80449,41.7
855,AZ,Globe,33.3099,-110.30063,24,97043,37066,59225,7.8
856,AZ,Sierra Vista,31.84033,-110.46381,52,320866,124640,70975,14.4
857,AZ,Tucson,32.1495,-111.2112,53,914180,373824,65329,26.5
859,AZ,Show Low,34.51589,-109.93865,26,78935,28721,57552,7.1
860,AZ,Flagstaff,35.6706,-111.31701,36,186944,63860,60304,9.9
863,AZ,Prescott,34.69667,-112.22293,32,235579,105544,62956,11.3
864,AZ,Lake Havasu City,35.21616,-114.09411,29,209513,94188,54801,9.6
865,AZ,Chambers,35.45604,-109.53652,21,56380,16552,29661,2.5
870,NM,Algodones,35.23497,-106.82877,59,202500,71626,61513,10.4
871,NM,Albuquerque,35.07611,-106.62487,45,759136,310979,66294,23.3
872,NM,Albuquerque,35.04434,-106.67287,1,,,,
873,NM,Gallup,35.48669,-108.36623,24,73089,21504,45366,5.2
874,NM,Farmington,36.72385,-108.13751,15,118384,39807,51669,7.1
